Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,292.910004,297.459991,287.750000,296.380005,296.380005,6423300
2019-01-29,295.269989,298.559998,291.799988,297.459991,297.459991,4621700
2019-01-30,300.450012,309.000000,298.489990,308.769989,308.769989,11250300
2019-01-31,301.000000,311.559998,294.000000,307.019989,307.019989,12569200
2019-02-01,305.420013,316.100006,303.500000,312.209991,312.209991,7283400
2019-02-04,312.980011,315.299988,301.880005,312.890015,312.890015,7352100
2019-02-05,312.489990,322.440002,312.250000,321.350006,321.350006,6742800
2019-02-06,319.589996,324.239990,315.619995,317.220001,317.220001,5038500
2019-02-07,313.299988,314.700012,303.000000,307.510010,307.510010,6520600
2019-02-08,306.829987,307.450012,298.500000,305.799988,305.799988,5844200
2019-02-11,311.600006,318.600006,310.500000,312.839996,312.839996,7129700
2019-02-12,316.200012,318.190002,309.619995,311.809998,311.809998,5517600
2019-02-13,312.350006,312.750000,305.570007,308.170013,308.170013,5141600
2019-02-14,303.380005,306.769989,301.000000,303.769989,303.769989,5200800
2019-02-15,304.500000,308.000000,303.899994,307.880005,307.880005,3904900
2019-02-19,306.559998,311.540009,305.470001,305.640015,305.640015,4168400
2019-02-20,304.410004,306.299988,299.000000,302.559998,302.559998,7142100
2019-02-21,301.809998,303.239990,290.500000,291.230011,291.230011,8909200
2019-02-22,294.489990,296.500000,292.100006,294.709991,294.709991,5740600
2019-02-25,297.910004,302.899994,297.000000,298.769989,298.769989,6626500
2019-02-26,292.220001,302.010010,288.769989,297.859985,297.859985,8575500
2019-02-27,301.779999,316.295013,300.549988,314.739990,314.739990,11169885
